#,PROC,LOAD,READSIZE,TIMESPFETCH,bg_Elapsed,nopred_Elapsed
4,4096,4096,1,60.47,58.29
4,4096,4096,2,59.8,58.29
4,4096,4096,4,54.85,58.29
4,4096,131072,1,40.24,43.37
4,4096,131072,2,41.22,43.37
4,4096,131072,4,40.29,43.37
4,4096,524288,1,40.6,40.2
4,4096,524288,2,37.0,40.2
4,4096,524288,4,36.66,40.2
4,4096,1048576,1,37.44,38.5
4,4096,1048576,2,37.21,38.5
4,4096,1048576,4,37.04,38.5
4,4096,4194304,1,38.81,36.11
4,4096,4194304,2,36.28,36.11
4,4096,4194304,4,39.32,36.11
4,4096,16777216,1,38.27,39.49
4,4096,16777216,2,36.21,39.49
4,4096,16777216,4,38.38,39.49
4,8192,4096,1,254.22,235.45
4,8192,4096,2,238.09,235.45
4,8192,4096,4,215.27,235.45
4,8192,131072,1,151.29,170.15
4,8192,131072,2,153.56,170.15
4,8192,131072,4,159.98,170.15
4,8192,524288,1,150.0,156.18
4,8192,524288,2,154.98,156.18
4,8192,524288,4,150.43,156.18
4,8192,1048576,1,154.55,149.19
4,8192,1048576,2,148.55,149.19
4,8192,1048576,4,151.57,149.19
4,8192,4194304,1,153.29,155.53
4,8192,4194304,2,149.57999999999998,155.53
4,8192,4194304,4,150.3,155.53
4,8192,16777216,1,150.41,153.18
4,8192,16777216,2,149.87,153.18
4,8192,16777216,4,156.16,153.18
4,16384,4096,1,909.02,895.66
4,16384,4096,2,853.09,895.66
4,16384,4096,4,804.69,895.66
4,16384,131072,1,555.39,659.98
4,16384,131072,2,566.92,659.98
4,16384,131072,4,549.4,659.98
4,16384,524288,1,611.0,601.84
4,16384,524288,2,615.84,601.84
4,16384,524288,4,599.96,601.84
4,16384,1048576,1,605.36,609.41
4,16384,1048576,2,631.66,609.41
4,16384,1048576,4,611.49,609.41
4,16384,4194304,1,601.4,604.71
4,16384,4194304,2,602.41,604.71
4,16384,4194304,4,600.85,604.71
4,16384,16777216,1,599.67,607.38
4,16384,16777216,2,601.57,607.38
4,16384,16777216,4,612.14,607.38
16,4096,4096,1,59.81,45.07
16,4096,4096,2,57.12,45.07
16,4096,4096,4,51.75,45.07
16,4096,131072,1,36.44,36.43
16,4096,131072,2,38.29,36.43
16,4096,131072,4,36.71,36.43
16,4096,524288,1,37.89,34.98
16,4096,524288,2,36.43,34.98
16,4096,524288,4,34.93,34.98
16,4096,1048576,1,34.45,35.76
16,4096,1048576,2,36.94,35.76
16,4096,1048576,4,37.73,35.76
16,4096,4194304,1,34.09,35.84
16,4096,4194304,2,36.18,35.84
16,4096,4194304,4,33.1,35.84
16,4096,16777216,1,36.95,35.24
16,4096,16777216,2,28.02,35.24
16,4096,16777216,4,34.03,35.24
16,8192,4096,1,204.01,164.54
16,8192,4096,2,167.05,164.54
16,8192,4096,4,196.03,164.54
16,8192,131072,1,131.09,142.38
16,8192,131072,2,104.21000000000001,142.38
16,8192,131072,4,109.25,142.38
16,8192,524288,1,101.87,103.39
16,8192,524288,2,95.32,103.39
16,8192,524288,4,97.12,103.39
16,8192,1048576,1,105.06,108.47999999999999
16,8192,1048576,2,96.92,108.47999999999999
16,8192,1048576,4,105.42,108.47999999999999
16,8192,4194304,1,102.08,103.22999999999999
16,8192,4194304,2,107.7,103.22999999999999
16,8192,4194304,4,124.07,103.22999999999999
16,8192,16777216,1,87.09,124.63
16,8192,16777216,2,72.68,124.63
16,8192,16777216,4,116.57,124.63
16,16384,4096,1,843.24,639.45
16,16384,4096,2,830.55,639.45
16,16384,4096,4,734.25,639.45
16,16384,131072,1,546.15,589.6
16,16384,131072,2,595.91,589.6
16,16384,131072,4,576.04,589.6
16,16384,524288,1,509.11,542.68
16,16384,524288,2,517.01,542.68
16,16384,524288,4,515.68,542.68
16,16384,1048576,1,518.0,508.21
16,16384,1048576,2,518.72,508.21
16,16384,1048576,4,514.87,508.21
16,16384,4194304,1,499.27,515.93
16,16384,4194304,2,503.95,515.93
16,16384,4194304,4,523.73,515.93
16,16384,16777216,1,525.19,535.79
16,16384,16777216,2,514.82,535.79
16,16384,16777216,4,566.52,535.79
